file,lam_i_nm,lam_j_nm,span_nm,lam_center_nm,dnu_THz,fringes,tau_aux_ns
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1535.000000,1540.000000,5.000000,1537.500000,0.634106,12930.551881,20.391795
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1535.000000,1545.000000,10.000000,1540.000000,1.264107,25773.238185,20.388494
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1535.000000,1550.000000,15.000000,1542.500000,1.890044,38517.761909,20.379295
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1535.000000,1555.000000,20.000000,1545.000000,2.511955,51208.127002,20.385763
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1535.000000,1560.000000,25.000000,1547.500000,3.129880,63796.535933,20.383059
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1535.000000,1565.000000,30.000000,1550.000000,3.743857,76330.914884,20.388310
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1540.000000,1545.000000,5.000000,1542.500000,0.630001,12842.686304,20.385172
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1540.000000,1550.000000,10.000000,1545.000000,1.255938,25587.210028,20.372984
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1540.000000,1555.000000,15.000000,1547.500000,1.877850,38277.575121,20.383726
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1540.000000,1560.000000,20.000000,1550.000000,2.495775,50865.984052,20.380840
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1540.000000,1565.000000,25.000000,1552.500000,3.109751,63400.363003,20.387600
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1545.000000,1550.000000,5.000000,1547.500000,0.625937,12744.523724,20.360718
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1545.000000,1555.000000,10.000000,1550.000000,1.247848,25434.888817,20.382996
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1545.000000,1560.000000,15.000000,1552.500000,1.865773,38023.297748,20.379377
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1545.000000,1565.000000,20.000000,1555.000000,2.479750,50557.676699,20.388216
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1550.000000,1555.000000,5.000000,1552.500000,0.621912,12690.365093,20.405418
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1550.000000,1560.000000,10.000000,1555.000000,1.239836,25278.774024,20.388797
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1550.000000,1565.000000,15.000000,1557.500000,1.853813,37813.152975,20.397501
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1555.000000,1560.000000,5.000000,1557.500000,0.617925,12588.408931,20.372068
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1555.000000,1565.000000,10.000000,1560.000000,1.231901,25122.787882,20.393505
3mB_sweep_ofdr_run1_2026-09-01_17-21-13.npz,1560.000000,1565.000000,5.000000,1562.500000,0.613977,12534.378951,20.415078
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1530.000000,1535.000000,5.000000,1532.500000,0.638250,13015.387649,20.392300
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1530.000000,1540.000000,10.000000,1535.000000,1.272356,25947.214487,20.393050
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1530.000000,1545.000000,15.000000,1537.500000,1.902357,38791.248469,20.391150
nofiber_sweep_ofdr_run1_2026-09-01_17-16-56.npz,1530.000000,1550.000000,20.000000,1540.000000,2.528294,51538.016232,20.384503
